wiski_station_no,name,drainage_division,longitude,latitude,name_long,kiwisid,name2,system,river,catchment_area[km2],lake_area[km2],capacity[ML],dead_capacity[ML],accessible_capacity[ML],full_supply_level[AHD],min_supply_level[AHD],year_of_completion,STATE_PROPORTION
w00172-RES_BENWLOR,Loombah Reservoir,Murray Darling Basin,146.223,-36.722,"Loombah Reservoir is located in  Victoria  and in the  Murray-Darling  drainage division. Loombah reservoir is part of the drinking water supply system for the town of Benalla. Loombah is managed in conjunction with McCall Say Reservoir, which is located upstream.",RES_BENWLOR,Loombah Reservoir,Broken (SS5),Ryans Creek,79,0.016,611.97,0,611.97,343.4,331.25,1945,Victoria
w00172-RES_BENWMSR,McCall Say Reservoir,Murray Darling Basin,146.212,-36.793,"McCall Say Reservoir is located in  Victoria  and in the  Murray-Darling  drainage division. McCall Say reservoir is part of the drinking water supply system for the town of Benalla, it is managed in conjunction with Loombah reservoir, which is located 8.5 km downstream.",RES_BENWMSR,McCall Say Reservoir,Broken (SS5),Ryans Creek,60,0.04,1136,11.5,1124.5,466.3,452.6,1975,Victoria
w00172-RES_MYRWNGR,Nil Gully Reservoir,Murray Darling Basin,146.739,-36.56,Nil Gully Reservoir is located in  Victoria  and in the  Murray-Darling  drainage division. Nil Gully Reservoir provides drinking water for the town of Myrtleford. Water is diverted to the reservoir from Buffalo Creek via a 13 km pipe.,RES_MYRWNGR,Nil Gully Reservoir,Ovens (SS4),Off-stream,0.025,0.005,400,124.131,275.869,288,281.6,1968,Victoria
w00189-G8150011,Darwin River,Tanami Timor Sea Coast,131.005,-12.858,"The Darwin River Dam is the principal water supply for Darwin. The upstream catchment is a protected ""closed catchment"" that provides excellent water quality for Darwin and a refuge for many rare and endangered plants and animals.  Power and Water  is responsible for providing water supplies to Darwin from combined groundwater and surface water sources. Construction was undertaken during 2009 and 2010 to raise the spillway and increase the storage capacity available for Darwin.",G8150011,Darwin River,Darwin Harbour,Darwin River,,,265000,30000,235000,44.56,34.2,1972,Northern Territory
w00191-138a,Baroon Pocket,North East Coast,152.873,-26.71,"Baroon Pocket water storage, otherwise known as Lake Baroon, is impounded by Baroon Pocket Dam. The storage is located in Queensland  and in the  North-East Coast drainage division. Located near Montville, Baroon Pocket has important cultural significance for Aboriginal people.",138121A,Baroon Pocket,Mary Basin,Obi Obi Creek,67,0.38,61000,0,61000,217,175,1989,Queensland
w00191-138b,Borumba,North East Coast,152.557,-26.521,"Borumba water storage, otherwise known as Lake Borumba, is impounded by Borumba Dam. The storage is located in  Queensland  and in the  North-East Coast  drainage division. It is a key storage in the Mary River Water Supply Scheme, which was developed to stabilise rural production by providing a reliable water supply.",138112A,Borumba,Mary Basin,Yabba Creek,465,0.48,45952,0,45952,135,104.5,1963,Queensland
w00191-138,Cedar Pocket,North East Coast,152.792,-26.216,Cedar Pocket water storage is located in Queensland  and in the  North-East Coast drainage division. The construction of this dam is partly earth and rockfill with a central clay core and partly a mass concrete structure.,138012A,Cedar Pocket,Mary Basin,Deep Creek,17.8,0.022,736.3,0,736.3,100.93,90.3,1984,Queensland
w00191-138,Lake MacDonald,North East Coast,152.937,-26.392,Lake MacDonald water storage is located in Queensland  and in the  North-East Coast drainage division. It was originally known as the Six Mile Creek Dam and is immediately adjacent to the Noosa Botanical Gardens.,138122A,Lake MacDonald,Mary Basin,Six Mile Creek,49,,7987.2,0,7987.2,95.32,86.6,1965,Queensland
w00191-141,Cooloolabin,North East Coast,152.877,-26.55,Cooloolabin water storage is located in Queensland  and in the  North-East Coast drainage division. The dam wall is 243m long with a central low flow section.,141011A,Cooloolabin,Mary Basin,Rocky Creek,8.1,0.22,13820,0,13820,295.91,282,1979,Queensland
w00191-141a,Ewen Maddock,North East Coast,152.996,-26.78,Ewen Maddock water storage is located in Queensland  and in the  North-East Coast drainage division. This dam is a 660m long zoned earthfill embankment.,141012A,Ewen Maddock,Mary Basin,Addlington Creek,21,,16587,0,16587,25.3,15.2,1982,Queensland
w00191-141b,Poona,North East Coast,152.91,-26.596,Poona water storage is located in  Queensland and in the  North-East Coast  drainage division. The dam is a homogenous earthfill embankment with a toe drain.,141013A,Poona,Mary Basin,,0.73,0.017,657,0,657,152.7,144.7,1959,Queensland
w00191-141,Wappa,North East Coast,152.92,-26.569,Wappa water storage is located in  Queensland and in the  North-East Coast  drainage division. The dam is a concrete gravity arch design with earth abutments on both sides. It is the main water supply for Maroochy Shire.,141014A,Wappa,Mary Basin,South Maroochy River,71.5,0.075,4694,0,4694,44.81,25,1963,Queensland
w00191-142a,Lake Kurwongbah,North East Coast,152.96,-27.243,"Lake Kurwongbah water storage, otherwise known as Sideling Creek Dam, is located in Queensland  and in the  North-East Coast drainage division. The Sideling Creek Dam features a ""minimum energy loss"" spillway that reduces the risk of downstream bank erosion.",142108A,Lake Kurwongbah,Moreton,Sideling Creek,53,,14370,0,14370,20.42,5.9,1969,Queensland
w00191-142b,North Pine,North East Coast,152.898,-27.262,"North Pine water storage, otherwise known as Lake Samsonvale, is impounded by North Pine Dam. The storage is located in  Queensland  and in the  North-East Coast  drainage division. The dam supplies water to the North Pine Water Treatment Plant, which takes about one day (under normal circumstances) to treat water for supply to consumers.",142801A,North Pine,Moreton,North Pine River,348,,214302,0,214302,39.6,4.6,1976,Queensland
w00191-143a,Atkinson,North East Coast,152.446,-27.429,"Atkinson water storage, otherwise known as Lake Atkinson, is impounded by Atkinson Dam. The storage is is located in  Queensland  and in the  North-East Coast  drainage division. Lake Atkinson was a natural lagoon prior to construction of the wall in 1970. Atkinson dam is declared as a ''catchment area'' under the Water Act 2000 that provides planning safeguards on negative impact on water quality.",143234A,Atkinson,Moreton,Atkinson's Lagoon,32.7,0.555,30400,0,30400,65.72,55,1970,Queensland
w00191-143b,Bill Gunn,North East Coast,152.375,-27.629,"Bill Gunn water storage, otherwise known as Lake Dyer, is impounded by Bill Gunn Dam. The storage is located in  Queensland  and in the North-East Coast  drainage division. With a very small natural catchment, the storage is filled by diverting flood flows from Laidley Creek.",143228A,Bill Gunn,Moreton,,3,0.1,6947,0,6947,110,96.1,1987,Queensland
w00191-143c,Clarendon,North East Coast,152.349,-27.502,"Clarendon water storage, otherwise known as Lake Clarendon, is impounded by Clarendon Dam. The storage is located in  Queensland  and in the  North-East Coast  drainage division. The lake was maintained below 10% full during drought conditions over the 2001-2009 period.",143235A,Clarendon,Moreton,,3.4,0.339,24276,0,24276,96,82.3,1992,Queensland
w00191-143d,Enoggera,North East Coast,152.921,-27.447,"Enoggera water storage is located in Queensland  and in the  North-East Coast drainage division. Enoggera Dam was the first major dam built (in 1866) in Queensland. A conventional nineteenth century clay cored earthfill dam, it was designed and built by Joseph Brady.",143047A,Enoggera,Moreton,Enoggera Creek,33,,4567.1,0,4567.1,74.37,60,1866,Queensland
w00191-143e,Gold Creek,North East Coast,152.878,-27.46,"Gold Creek water storage is located in Queensland  and in the  North-East Coast drainage division. The original dam, built between 1882 and 1885, was a cast iron structure that failed in 1904. This was replaced by the present concrete structure in 1905.",143048A,Gold Creek,Moreton,Gold Creek,10.5,,1436,0,1436,95.75,75,1885,Queensland
w00191-143f,Lake Manchester,North East Coast,152.766,-27.481,"Lake Manchester water storage is located in Queensland  and in the  North-East Coast drainage division. It was originally called Cabbage Tree Creek Dam, but was renamed in December 1916 after Mr E.J. Manchester, president of the Metropolitan Water Supply and Sewerage Board.",143049A,Lake Manchester,Moreton,Cabbage Tree Creek,74,,25951,0,25951,50.9,19.8,1916,Queensland
w00191-143g,Moogerah,North East Coast,152.54,-28.044,"Moogerah water storage, otherwise known as Lake Moogerah, is impounded by Moogerah Dam. The storage is located in  Queensland  and in the  North-East Coast  drainage division. It is part of the Warrill Valley Water Supply Scheme.",143111A,Moogerah,Moreton,Reynolds Creek,228,0.827,86290.222,0,86290.222,154.93,124.5,1961,Queensland
w00191-143h,Somerset,North East Coast,152.569,-27.039,"Somerset water storage, otherwise known as Lake Somerset, is impounded by Somerset Dam. The storage located in  Queensland  and in the  North-East Coast  drainage division. When Somerset was built in 1955, the total storage capacity of all large dams in Queensland jumped by 400%.",143305A,Somerset,Moreton,Stanley River,1340,4.21,379849,0,379849,99,61,1959,Queensland
w00191-143i,Wivenhoe,North East Coast,152.545,-27.312,"Wivenhoe water storage, otherwise known as Lake Wivenhoe, is impounded by Wivenhoe Dam. The storage is located in  Queensland  and in the  North-East Coast  drainage division. The gates on Wivenhoe Dam are 12 metres wide and 16.6 metres high making them among the largest of their type in the world.",143036A,Wivenhoe,Moreton,Brisbane River,7020,,1165238,0,1165238,67,27,1984,Queensland
w00191-145a,Leslie Harrison,North East Coast,153.171,-27.539,"Leslie Harrison water storage, otherwise known as Tingalpa Reservoir, is impounded by Leslie Harrison Dam. The storage is located in Queensland  and in the  North-East Coast drainage division. The catchment for this dam is home to one of the largest koala populations in the State.",145035A,Leslie Harrison,Logan Basin,Tingalpa Creek,,,24868,0,24868,18.32,0,1984,Queensland
w00191-145b,Maroon,North East Coast,152.645,-28.19,"Maroon water storage, otherwise known as Lake Maroon, is impounded by Maroon Dam. The storage is located in  Queensland  and in the North-East Coast  drainage division. It is part of the Warrill Valley Water Supply Scheme.",145021A,Maroon,Logan Basin,Burnett Creek,106,0.31,44319,0,44319,207.14,178.2,1974,Queensland
w00191-146a,Hinze,North East Coast,153.289,-28.065,"Hinze water storage, otherwise known as Advancetown Lake, is impounded by Hinze Dam. The storage is located in  Queensland  and in the  North-East Coast  drainage division. Following the Stage 3 upgrade, the Hinze Dam wall will be the highest central clay core and rock dam in Queensland.",146033A,Hinze,Gold Coast,Nerang River,207,0.972,161073,0,161073,82.2,33.6,1989,Queensland
w00191-146b,Little Nerang,North East Coast,153.284,-28.153,"Little Nerang water storage is located in Queensland  and in the  North-East Coast drainage division. Prior to the completion of the Hinze Dam, the Little Nerang Creek Gravity Scheme supplied the water requirements of the Gold Coast area.",146034A,Little Nerang,Gold Coast,Little Nerang Creek,35.2,,6704.92,0,6704.92,168.02,123,1961,Queensland
w00198-128,Fitzroy Barrage,North East Coast,150.499,-23.361,"Fitzroy Barrage is located in  Queensland  and in the  North East Coast  drainage division. The major storage of the region, Fitzroy Barrage supplies drinking water to Rockhampton city and the surrounding areas of Gracemere, The Caves and Nerimbera, and agricultural water to rural users. It separates the upstream freshwater from the downstream tidal salt water on the Fitzroy river.",128,Fitzroy Barrage,Fitzroy Basin,Fitzroy River,,,81299.36,21924.2,59375.16,3.78,-1.2,1971,Queensland
w00198-130,Kelly's Offstream Storage,North East Coast,150.689,-23.004,Kelly's Offstream Storage is located in Queensland  and in the  North East Coast drainage division. It supplies water to the Woodbury treatment plant and stores raw water pumped from Water Park Creek and Sandy Creek 37km north of Yeppoon. It is a part of the Capricorn Coast Water Supply System supplying the township of Yeppoon.,130,Kelly's Offstream Storage,Fitzroy Basin,Off-stream,,,1238,92.2,1145.8,75.15,65.3,1998,Queensland
w00198-132,Mount Morgan No. 7,North East Coast,150.407,-23.645,"Mount Morgan No. 7 is located in  Queensland and in the  North East Coast  drainage division. It is the primary source of water for the Mt. Morgan water supply system. Known as the Mt. Morgan ""Big Dam"" it was the last and largest of seven dams built on the Dee river by the Mount Morgan Gold Mining Company Limited in 1900. The Big Dam is also reportedly the home of a small number of Johnston River Freshwater Crocodiles.",132,Mount Morgan No. 7,Fitzroy Basin,Dee creek,,,2926,30,2896,248.3,237.08,1900,Queensland
w00205-222537,Guthega Pondage,South East Coast (Victoria),148.367,-36.384,Guthega Pondage is located in  New South Wales  and in the  South-East Coast  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme. Guthega Dam was the first dam completed in the Snowy Mountain Scheme.,222537,Guthega Pondage,Snowy River,Snowy River,,,1827,170,1657,1582.263,1567.023,1955,New South Wales
w00205-222538,Lake Eucumbene,South East Coast (Victoria),148.722,-36.076,Lake Eucumbene is located in  New South Walesand in the  South-East Coast  drainage division. It is the central reservoir of the Snowy Mountains Hydroelectric Scheme. Construction of Eucumbene Dam between 1956 and 58 forced the relocation of Adaminaby around six miles from its original location.,222538,Lake Eucumbene,Snowy River,Eucumbene River,,,4799000,432100,4366900,1163.773,1115.303,1958,New South Wales
w00205-222539,Island Bend Pondage,South East Coast (Victoria),148.472,-36.318,Island Bend Pondage is located in  New South Wales  and in the  South-East Coast  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme.,222539,Island Bend Pondage,Snowy River,Snowy River,,,3013,688,2325,1184.493,1172.303,1965,New South Wales
w00205-222540,Lake Jindabyne,South East Coast (Victoria),148.629,-36.361,Lake Jindabyne is located in  New South Wales and in the  South-East Coast  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme. Modifications to Jindabyne Dam have enabled it to deliver environmental flows including flushing flows.,222540,Lake Jindabyne,Snowy River,Snowy River,,,689790,300800,388990,910.173,894.933,1967,New South Wales
w00205-401565,Tooma Reservoir,Murray Darling Basin,148.27,-36.064,Tooma Reservoir is located in  New South Wales and in the  Murray-Darling  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme.,401565,Tooma Reservoir,NSW Murray (SS14),Tooma River,,,28125,2659,25466,1218.023,1187.543,1961,New South Wales
w00205-401569,Khancoban Pondage,Murray Darling Basin,148.117,-36.239,Khancoban Dam is located in  New South Wales and in the  Murray-Darling  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme.,401569,Khancoban Pondage,NSW Murray (SS14),Swampy Plain River,,,21512,103,21409,303.623,292.953,1966,New South Wales
w00205-401570,Geehi Reservoir,Murray Darling Basin,148.318,-36.301,Geehi Reservoir is located in New South Wales and in the Murray-Darling drainage division. It is part of the Snowy Mountains Hydroelectric Scheme.,401570,Geehi Reservoir,NSW Murray (SS14),McCallum Creek,,,21107,8067,13040,1105.243,1080.863,1966,New South Wales
w00205-401571,Murray 2 Pondage,Murray Darling Basin,148.185,-36.244,Murray 2 Pondage is located in  New South Wales  and in the  Murray-Darling  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme.,401571,Murray 2 Pondage,NSW Murray (SS14),Khancoban Back Creek,,,1762,640.75,1121.25,588.613,577.943,1968,New South Wales
w00205-410542,Tumut Pond,Murray Darling Basin,148.416,-35.968,Tumut Pond is located in  New South Wales  and in the  Murray-Darling  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme.,410542,Tumut Pond,Murrumbidgee (SS15),Tumut River,,,52818,2844,49974,1157.063,1105.553,1959,New South Wales
w00205-410543,Tantangara Reservoir,Murray Darling Basin,148.66,-35.736,Tantangra Reservoir is located in  New South Wales  and in the  Murray-Darling  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme.,410543,Tantangara Reservoir,Murrumbidgee (SS15),Murrumbidgee River,,,254080,15312,238768,1228.693,1205.833,1960,New South Wales
w00205-410545,Tumut 2,Murray Darling Basin,148.362,-35.935,Tumut 2 is located in  New South Wales  and in the  Murray-Darling  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme. Its primary purposes are the generation of hydroelectricity and the diversion of water inland for irrigation.,410545,Tumut 2,Murrumbidgee (SS15),Tumut River,,,2682,1181,1501,824.833,814.163,1961,New South Wales
w00205-410572A,Talbingo,Murray Darling Basin,148.327,-35.706,Talbingo Dam is located in  New South Wales and in the  Murray-Darling  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme. The Talbingo dam wall is the largest in the Snowy Hydro Scheme at a height of 161.5 meters.,410572A,Talbingo,Murrumbidgee (SS15),Tumut River,,,920550,760270,160280,543.193,534.353,1970,New South Wales
w00205-410573,Jounama Pondage,Murray Darling Basin,148.3,-35.574,Jounama Dam is located in  New South Wales and in the  Murray-Darling  drainage division. It is part of the Snowy Mountains Hydroelectric Scheme.,410573,Jounama Pondage,Murrumbidgee (SS15),Tumut River,,,43802,12749,31053,391.403,379.823,1968,New South Wales
w00209-A4260512,Lock 5 - Renmark,Murray Darling Basin,140.768,-34.19,Lock 5 is located near Renmark in  South Australia  and in the  Murray-Darling  drainage division. Lock 5 is approximately 52 km downstream of the downstream boundary of the Chowilla Floodplain Icon Site. The River Murray is a regulated river and Locks and Weirs operate to maintain stable pool levels upstream of each Lock. Locks will therefore report at or about 100% capacity. This is not representative of the overall storage capacity available in the River.,A4260512,Lock 5 - Renmark,SA Murray (SS11),River Murray,,,36932.533,13890.04,23042.493,16.3,13.2,1927,South Australia
w00209-A4260514,Lock 4 - Bookpurnong,Murray Darling Basin,140.577,-34.342,Lock 4 is located near Berri and Bookpurnong in  South Australia  and in the  Murray-Darling drainage division. The River Murray is a regulated river and Locks and Weirs operate to maintain stable pool levels upstream of each Lock. Locks will therefore report at or about 100% capacity. This is not representative of the overall storage capacity available in the River.,A4260514,Lock 4 - Bookpurnong,SA Murray (SS11),River Murray,,,29366.191,8780.182,20586.009,13.2,9.8,1929,South Australia
w00209-A4260516,Lock 3 - Overland Corner,Murray Darling Basin,140.359,-34.188,Lock 3 is located near Overland Corner in  South Australia  and in the  Murray-Darling  drainage division. Repairs were undertaken on Lock 3 in early 2010. This was the first time the lock had been emptied since its wooden gates were replaced with steel in the late 1960s. The River Murray is a regulated river and Locks and Weirs operate to maintain stable pool levels upstream of each Lock. Locks will therefore report at or about 100% capacity. This is not representative of the overall storage capacity available in the River.,A4260516,Lock 3 - Overland Corner,SA Murray (SS11),River Murray,,,50533.385,13601.491,36931.895,9.8,6.1,1925,South Australia
w00209-A4260518,Lock 2 - Waikerie,Murray Darling Basin,139.932,-34.077,Lock 2 is located near Waikerie in  South Australia  and in the  Murray-Darling  drainage division. Waikerie comes from the Aboriginal word meaning ''many wings''. The River Murray is a regulated river and Locks and Weirs operate to maintain stable pool levels upstream of each Lock. Locks will therefore report at or about 100% capacity. This is not representative of the overall storage capacity available in the River.,A4260518,Lock 2 - Waikerie,SA Murray (SS11),River Murray,,,40367.862,13420.651,26947.211,6.1,3.2,1928,South Australia
w00209-A4260902,Lock 1 - Blanchetown,Murray Darling Basin,139.616,-34.35,Lock 1 is located near Blanchetown in  South Australia  and in the  Murray-Darling  drainage division. Lock 1 was the first lock built on the River Murray system. The River Murray is a regulated river and Locks and Weirs operate to maintain stable pool levels upstream of each Lock. Locks will therefore report at or about 100% capacity. This is not representative of the overall storage capacity available in the River.,A4260902,Lock 1 - Blanchetown,SA Murray (SS11),River Murray,,,56480.27,28560.343,27919.927,3.2,0.75,1922,South Australia
w00209-A4261093,Lake Victoria,Murray Darling Basin,141.28,-33.99,"Lake Victoria is located in  New South Wales  and in the  Murray-Darling  drainage division. Lake Victoria is located immediately upstream of South Australia and downstream of all the major tributaries, major demands and channel capacity constraints on the River Murray.",A4261093,Lake Victoria,Lower Darling (SS18),Off-stream,,,676620.7,100041.36,576579.34,27,21.332,,New South Wales
w00209-BA-RS,Barossa,South Australian Gulf,138.849,-34.652,Barossa is located in  South Australia  and in the South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide. The Barossa Dam was one of the first true arch dams built in the world. It is sometimes called the ''Whispering Wall'' as its shape can create an unusual acoustic phenomenon.,BA-RS,Barossa,Adelaide & Mt Lofty Ranges,Off-stream,,,4510,19,4491,220.08,196.28,1902,South Australia
w00209-HAPV-RS,Happy Valley,South Australian Gulf,138.572,-35.073,Happy Valley is located in  South Australia  and in the  South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide. It acts as a balancing storage with water sourced from Mount Bold via Clarendon Weir constructed on the Onkaparinga River.,HAPV-RS,Happy Valley,Adelaide & Mt Lofty Ranges,Off-stream,,,12700,71,12629,145.92,134.798,1897,South Australia
w00209-HOPV-RS,Hope Valley,South Australian Gulf,138.684,-34.853,Hope Valley is located in  South Australia  and in the  South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide. Hope Valley was the second storage built in Adelaide. It receives water from Kangaroo Creek and Millbrook Reservoirs.,HOPV-RS,Hope Valley,Adelaide & Mt Lofty Ranges,Off-stream,,,2764,123,2641,102.3,92.435,1873,South Australia
w00209-KACK-RS,Kangaroo Creek,South Australian Gulf,138.786,-34.866,"Kangaroo Creek is located in  South Australia and in the  South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide. Water in Kangaroo Creek is either captured from local catchment yield, transferred from Millbrook or from the River Murray via the Mannum-Adelaide Pipeline.",KACK-RS,Kangaroo Creek,Adelaide & Mt Lofty Ranges,River Torrens,,,19000,300,18700,237.3,198.86,1969,South Australia
w00209-LP-RS,Little Para,South Australian Gulf,138.725,-34.745,"Little Para is located in  South Australia  and in the  South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide. It also has a flood mitigation role and is kept deliberately less than full for this purpose. Between 1979 and 2010, Little Para was only full twice; in 1981 and 1992.",LP-RS,Little Para,Adelaide & Mt Lofty Ranges,Little Para River,,,20800,188,20612,149.2,108.58,1977,South Australia
w00209-MILB-RS,Millbrook,South Australian Gulf,138.814,-34.828,"Millbrook is located in  South Australia  and in the  South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide. Despite many stories to the contrary, abandoned buildings in the storage area were demolished before the storage was filled.",MILB-RS,Millbrook,Adelaide & Mt Lofty Ranges,River Torrens,,,16500,188,16312,302.95,280.7,1918,South Australia
w00209-MTBO-RS,Mount Bold,South Australian Gulf,138.71,-35.119,"Mount Bold is located in South Australia and in the South Australian Gulf drainage division. It is also part of the system of storages that supply water to Adelaide. The largest storage in the Adelaide system, Mount Bold supplies water from catchment yield and also transfers from the River Murray via the Murray Bridge Onkaparinga Pipeline.",MTBO-RS,Mount Bold,Adelaide & Mt Lofty Ranges,Onkaparinga River,,,45900,27,45873,246.85,208.85,1938,South Australia
w00209-MYP-RS,Myponga,South Australian Gulf,138.435,-35.397,Myponga is located in  South Australia  and in the  South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide.,MYP-RS,Myponga,Adelaide & Mt Lofty Ranges,Myponga River,,,26993,163,26830,211.69,180.47,1962,South Australia
w00209-SPAR-RS,South Para,South Australian Gulf,138.866,-34.7,"South Para is located in  South Australia  and in the  South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide. Due to its size in relation to its catchment area, South Para will not fill completely more than about once in every five years.",SPAR-RS,South Para,Adelaide & Mt Lofty Ranges,South Para River,,,44847,310,44537,255.43,226.79,1958,South Australia
w00209-WARR-RS,Warren,South Australian Gulf,138.929,-34.709,"Warren is located in  South Australia  and in the South Australian Gulf  drainage division. It is also part of the system of storages that supply water to  Adelaide. The construction supervisor, Mr Bradley, was given a new Model ''T'' Ford and had to learn to drive to make the 30 km journey to the remote Warren site.",WARR-RS,Warren,Adelaide & Mt Lofty Ranges,South Para River,,,4780,0,4780,385.32,375.32,1916,South Australia
w00227-110014A,Tinaroo Falls,North East Coast,145.577,-17.193,Tinaroo Falls is located in  Queensland  and in the  North-East Coast  drainage division. It was the first large irrigation storage built in Queensland and enabled the waters of the Barron River to be diverted across the Great Dividing Range into the Walsh River Catchment.,110014A,Tinaroo Falls,Barron,,,,438920,1300,437620,670.42,637.68,1958,Queensland
w00227-119007A,Giru Weir,North East Coast,147.113,-19.51,Giru Weir is located in  Queensland  and in the North-East Coast  drainage division. It is part of the Burdekin-Haughton Water Supply Scheme.,119007A,Giru Weir,Burdekin Basin,Haughton River,,,1025,222.5,802.5,3.85,2.25,2005,Queensland
w00227-120012A,Clare Weir,North East Coast,147.236,-19.863,Clare Weir is located in  Queensland  and in the North-East Coast  drainage division. It is part of the Burdekin-Haughton Water Supply Scheme and operates in conjunction with Burdekin Falls Dam.,120012A,Clare Weir,Burdekin Basin,Burdekin River,,,15900,10,15890,20.54,13.68,1978,Queensland
w00227-120016A,Burdekin Falls,North East Coast,146.973,-20.666,"The Burdekin Falls Dam, which forms Lake Dalrymple, is located in Queensland and in the North-East Coast drainage division. Lake Dalrymple is the largest water storage in Queensland and the spillway over the dam crest has the highest flood capacity in Australia.",120016A,Burdekin Falls,Burdekin Basin,Burdekin River,,,1860000,7860,1852140,154,124,1987,Queensland
w00227-120211A,Eungella,North East Coast,148.4,-21.158,Eungella Dam is located in  Queensland  and in the  North-East Coast  drainage division. Eungella was originally constructed to supply cooling water to the Collinsville thermal power station and the town water requirements of Collinsville and Scottsville.,120211A,Eungella,Burdekin Basin,Broken River,,,112476,1233.075,111242.925,562.71,532.95,1969,Queensland
w00227-122010A,Peter Faust,North East Coast,148.349,-20.369,"Lake Proserpine, which is impounded by Peter Faust Dam, in located in  Queensland  and the North-East Coast  drainage division. It has significantly reduced the frequency and severity of floods in the Proserpine River.",122010A,Peter Faust,Whitsunday,Proserpine River,,,491400,966.25,490433.75,85.6,53.1,1990,Queensland
w00227-125003A,Marian Weir,North East Coast,148.937,-21.142,Marian Weir is located in  Queensland  and in the North East Coast  North-East Coast  drainage division.,125003A,Marian Weir,Pioneer Valley,,,,3985,95.32,3889.68,31.91,26.54,1952,Queensland
w00227-125008A,Mirani Weir,North East Coast,148.821,-21.221,Mirani Weir is located in  Queensland  and in the North-East Coast  drainage division.,125008A,Mirani Weir,Pioneer Valley,Pioneer River,,,4660,407.3,4252.7,47,40.01,1987,Queensland
w00227-125015A,Teemburra,North East Coast,148.662,-21.203,Teemburra is located in  Queensland  and in the North-East Coast  drainage division. It is one of ten dams listed by SunWater as requiring a spillway upgrade in the longer term.,125015A,Teemburra,Pioneer Valley,Teemburra Creek,,,147556,8297.59,139258.41,290,264.35,1996,Queensland
w00227-126004A,Kinchant,North East Coast,148.88,-21.203,Kinchant Dam is located in  Queensland  and in the  North-East Coast  drainage division. It was constructed to capture water from a small catchment of Sandy Creek. Water is also pumped from the Pioneer River during periods with significant stream flow.,126004A,Kinchant,Pioneer Valley,North Sandy Creek,,,62800,600.863,62199.137,57.21,43.76,1977,Queensland
w00227-130104A,Bedford Weir,North East Coast,148.841,-23.374,"Bedford Weir is located in  Queensland  and in the  North-East Coast  drainage division. The weir pool has been stocked with sports fish, including Saratoga.",130104A,Bedford Weir,Fitzroy Basin,Mackenzie River,,,22983,3349.48,19633.52,124,116.08,1968,Queensland
w00227-130106A,Bingegang Weir,North East Coast,149.03,-23.085,Bingegang Weir is located in  Queensland  and in the  North-East Coast  drainage division.,130106A,Bingegang Weir,Fitzroy Basin,Mackenzie River,,,8060,1250.08,6809.92,102.9,97.74,,Queensland
w00227-130109A,Tartrus Weir,North East Coast,149.421,-22.957,Tartrus Weir is located in  Queensland  and in the North-East Coast  drainage division. It is part of the Nogoa Mackenzie Water Supply Scheme.,130109A,Tartrus Weir,Fitzroy Basin,,,,12000,2525,9475,81.75,76.85,1986,Queensland
w00227-130216A,Fairbairn,North East Coast,148.016,-23.685,"Lake Maraboon, which is impounded by Fairbairn Dam, is located in  Queensland  and in the  North-East Coast  drainage division. It is the main storage in the Nogoa Mackenzie Water Supply Scheme.",130216A,Fairbairn,Fitzroy Basin,Nogoa River,,,1301133,12265.54,1288867.46,204.23,185.85,1972,Queensland
w00227-130304B,Neville Hewitt Weir,North East Coast,149.829,-24.166,Neville Hewitt Weir is located in  Queensland and in the  North-East Coast  drainage division. It is part of the Dawson Valley Water Supply Scheme.,130304B,Neville Hewitt Weir,Fitzroy Basin,Dawson River,,,11300,641.816,10658.184,80.3,72.53,1976,Queensland
w00227-130305A,Theodore Weir,North East Coast,150.067,-24.937,Theodore Weir is located in  Queensland  and in the  North-East Coast  drainage division. It is part of the Dawson Valley Water Supply Scheme.,130305A,Theodore Weir,Fitzroy Basin,,,,4760,750.246,4009.754,133.63,126.95,1932,Queensland
w00227-130314B,Callide,North East Coast,150.642,-24.353,Callide Dam is located in  Queensland  and the North-East Coast  drainage division. Callide Dam was raised in 1988 with the addition of gates on the spillway.,130314B,Callide,Fitzroy Basin,Callide Creek,,,136370,3342.56,133027.44,216.1,192.33,1965,Queensland
